term_ru,term_en
Налог на добавленную стоимость,Value Added Tax
Субсидии на экспорт,Export Subsidies
Незаработанная страховая премия,Unearned remium
Текущие трансферты в рамках международного сотрудничества,Current International Cooperation
Нереализованная холдинговая прибыль,Unrealized Holding Gain
"Лица, работающие по найму (наемные работники)",Employees
Социальные пособия,Social Benefits
Торговые прибыли или убытки вследствие изменений в условиях внешней торговли,Trading Gain Or Loss
Цена,Price
Вексель,Bills
Валютно-обменный своп,Foreign Exchange Swap
Нераспределенный доход корпорации или квазикорпорации,Retained Earnings of a Corporation or Quasi-Corporation
"Налоги на производство, подлежащие выплате",Taxes Less Subsidies on Production
Другие здания и сооружения,Other Buildings and Structures
Совместное предприятие,Joint Venture
Товары для перепродажи,Goods For Resale
Другие финансовые корпорации,Other Financial Corporations
Капитальные трансферты,Capital Transfers
Номинальная холдинговая прибыль на нефинансовый актив,Nominal Holding Gain on a Non-financial Asset
Права на пенсионные пособия,Pension Entitlements Show
Бартер,Barter
Исторические памятники,Public Monuments
Таблица ресурсов в ценах,Supply Table at Purchasers’ Prices
Паритет покупательной способности,Purchasing Power Parity
Распределенный доход,Distributable Income
"ВВП, исчисленный производственным методом",Production Measure of Gross Domestic Product
Границы сферы производства в СНС,Production Boundary of the SNA
Незавершенное производство,Work-in-Progress
Другие машины и оборудование,Other Machinery and Equipment
Ресурсы животных,Animal Resources
"Текущие налоги на доходы, имущество и т. д.","Current Taxes on Income, Wealth, etc."
Текущие трансферты единицам сектора НКОДХ,Current Transfers to NPISHs
Другие текущие трансферты,Other Current Transfers
Номинальная холдинговая прибыль на обязательство,Nominal Holding Gain On A Liability
Общественная организация,Social Entity
Население,Population
Налоги на экспорт,Export Taxes
Прочие текущие трансферты,Current Transfers
Ценные бумаги,Securities
"Оригиналы развлекательных, литературных и художественных произведений","Entertainment, Literary and Artistic Originals"
Валовый внутренний продукт,Gross Domestic Product
Услуги,Services
Экономические потоки,Economic flows
Репо,Repo
Неработающая ссуда,Non-Performing Loan
Субсидия на продукт,Subsidy On Product
"Информационное, компьютерное и телекоммуникационное оборудование","Information, Computer and Telecommunications Equipment"
Другие инвестиции,Other Investment
Трансферт,Transfer
Пособия по социальному обеспечению в денежной форме,Social Security Benefits In Cash
Валовое накопление основного капитала в форме конкретной категории основных фондов,Gross Fixed Capital Formation in a Particular Category of Fixed Asset
Дивиденды,Dividends
Продукты,Products
Нежилые здания,Buildings other than Dwellings
Договор финансового лизинга,Financial Lease
"ВВП, исчисленный распределительным методом",Income Measure of Gross Domestic Product
Экономика в целом,Total Economy
Индексируемые ценные бумаги,Index-Linked Securities
Актив,Asset
Другие виды участия в капитале,Other Equity
Чистые страховые премии (кроме премий по страхованию жизни),Net Non-Life Insurance Premiums
Форвардный валютный контракт,Forward Contract
Программа социального страхования,Social Insurance Scheme
Банковский акцепт,Banker’s Acceptance
Ресурсы минеральных и энергетических полезных ископаемых,Mineral and Energy Resources
Заведение,Establishment
Варранты,Warrants
Реорганизация долга,Debt Reorganization
Приобретение товаров и услуг,Acquisitions Of Goods And Services
Долговые ценные бумаги,Debt Securities
Баланс продукта,Product Balance
Улучшения земли,Land Improvements
Налоги на капитал,Capital Taxes
Договор операционного лизинга,Operating Lease
Вспомогательные финансовые корпорации,Financial auxiliaries 
Налоги и пошлины на импорт,Taxes and Duties on Imports
Изъятие из дохода квазикорпорации,Withdrawal of Income from a Quasi-Corporation
Переводимые депозиты,Transferable Deposits
Потребление основного капитала,Consumption Of Fixed Capital
Некультивируемые биологические ресурсы,Non-Cultivated Biological Resources
Налоги на доходы,Taxes on Income
Граница активов,Asset Boundary
Портфельные инвестиции,Portfolio Investment
Другие субсидии на производство,Other Subsidies on Production
Гудвилл и маркетинговые активы,Goodwill and Marketing Assets
Ссуды,Loans
Реальный валовой внутренний доход,Real Gross Domestic Income
Фактическое конечное потребление сектора государственного управления,Actual Final Consumption of General Government
Акции и паи фондов денежного рынка,Money Market Fund Shares or Units
Нефинансовые корпорации,Non-financial corporations
Изменение чистой стоимости капитала вследствие номинальных холдинговых прибылей/убытков,Changes in net Worth Due to Nominal Holding Gains/Losses
Другое незавершенное производство,Other Work-in-Progress
"Акции, не включенные в листинг",Unlisted Shares
Наличная валюта,Currency
"Другие финансовые посредники, кроме страховых корпораций и пенсионных фондов",Other Financial Intermediaries
Фактическое конечное потребление домашних хозяйств,Actual Final Consumption of Households
Пособие по социальному страхованию,Social Insurance Contribution
Нерыночный выпуск,Non-Market Output
Первичные доходы,Primary Incomes
Экономически значимые цены,Economically Significant Prices
Компьютерное программное обеспечение,Computer Software
Природные ресурсы,Natural Resources
Чистый национальный доход,Net National Income
Некоммерческие организации,Non-profit institutions
Договор аренды природных ресурсов,Resource Lease
Денежная операция,Monetary transaction
Балансирующая статья,Balancing item
Валютно-процентный своп,Interest Rate Swap
Производство,Production
Сбережение,Saving
Валовая добавленная стоимость,Gross Value Added
Научные исследования и разработки,Research and Development Consists
Центральный банк,Central Bank
Экономически активное население,Economically Active Population
Сырье и материалы,Materials and Supplies
Располагаемый доход,Disposable Income
Опционы,Options
Дополнения к отчислениям домашних хозяйств на социальное страхование,Households’ Social Contribution Supplements
Потребление,Consumption
Вычитаемый НДС,Deductible VAT
Самостоятельно занятые лица,Self-Employed Persons
Кредитные производные финансовые инструменты,Credit Derivatives
Другие субсидии на продукты,Other Subsidies on Products
Рыночные производители,Non-Market Producers
Заработанная страховая премия,Premium Earned
Фактические отчисления домашних хозяйств на социальное страхование,Households Actual Social Contributions
Квазикорпорация,Quasi-Corporation
Таблица использования в ценах,Table at Purchasers’ Prices
Операция,Transaction
Изменение чистой стоимости капитала вследствие сбережения и капитальных трансфертов,Changes In Net Worth Due To Saving And Capital Transfers
Отчисления работодателей на социальное страхование,Employers’ Social Contributions
Некорпорированное предприятие,Unincorporated Enterprise
Валовой национальный располагаемый доход,Gross or Net National Disposable Income
Другие продукты интеллектуальной собственности,Other Intellectual Property Products
Начисленный НДС,Invoiced VAT
Основная деятельность,Principal Activity
"Контракты, договоры аренды и лицензии","Contracts, Leases and Licences"
Культивируемые биологические ресурсы,Cultivated Biological Resources
"Страхование, кроме страхования жизни",Non-Life Insurance
Выплаты компенсаций,Payments of Compensation
Финансовые активы,Financial assets
Расходы на товары и услуги,Expenditures on Goods and Services
Страховые технические резервы,Insurance Technical Reserves
База данных,Databases
Готовые продукты,Finished Goods
